feature,n,beta,se,t,p,r2,q_fdr,sig_fdr
small_worldness,306,0.129517510535694,0.05505827584407369,2.3523713474517542,0.01929794730278945,0.12975467590907497,0.21227742033068395,False
modularity,306,0.06526579254190398,0.058221041905902916,1.121000078414722,0.26318138563140026,0.11744047911228161,0.9674071274273942,False
FPN_within,306,-0.042978690504585595,0.05500175451374546,-0.7814058094064038,0.4351780262138053,0.11555004761427701,0.9674071274273942,False
DMN_within,306,0.03041841204457726,0.05678236024634999,0.5357017903554401,0.5925602691796246,0.11460004145735547,0.9674071274273942,False
char_path_length,306,-0.02840659408363591,0.055184557509557586,-0.514756217420355,0.6071011572263986,0.11453537757203003,0.9674071274273942,False
global_efficiency,306,0.027215364170587057,0.0551828748155627,0.49318496474764606,0.6222415139146021,0.11447146821145404,0.9674071274273942,False
mean_clustering,306,0.007761012165441257,0.05445612268785971,0.14251863302731016,0.8867657132362761,0.11381569224306087,0.9674071274273942,False
FPN_MTL_between,306,-0.007322662530482915,0.05685059423645856,-0.12880538240331807,0.8975976681486135,0.11380473850701112,0.9674071274273942,False
DMN_FPN_between,306,0.005131530027256703,0.05556957741215599,0.09234423341384214,0.9264859748304803,0.11378099924772589,0.9674071274273942,False
DMN_MTL_between,306,-0.0035062165306952373,0.05392912075518334,-0.06501527341066915,0.9482049975617789,0.11376833776538486,0.9674071274273942,False
MTL_within,306,-0.0022553451105650213,0.055150351227464194,-0.04089448317859284,0.9674071274273942,0.11376081624122036,0.9674071274273942,False
