mediator,a,b,c,c_prime,ab,ci_low,ci_high,p_boot,n,ci_excludes_zero
small_worldness,-0.12949962614045568,0.12474702168693932,-0.2360007458672444,-0.21984605319665063,-0.01615469267059396,-0.0626039670756094,0.019926887263087886,0.4024,175,False
DMN_within,-0.05260579729015142,0.09394815700810498,-0.2360007458672444,-0.2310585281638926,-0.004942217703351689,-0.041334618379996586,0.023833711885285408,0.7196,175,False
char_path_length,0.04951589268969235,-0.07985742255645702,-0.2360007458672444,-0.23204653430146277,-0.003954211565780943,-0.02759971893145822,0.018419401834991092,0.7532,175,False
DMN_FPN_between,-0.07917729770476094,0.07109532012300727,-0.2360007458672444,-0.23037161054044972,-0.005629135326794628,-0.03716792575781869,0.02396567001424211,0.786,175,False
global_efficiency,-0.05521337800212916,0.059740767333961414,-0.2360007458672444,-0.232702256298297,-0.003298489568947261,-0.02973100014008233,0.02068239989339639,0.8168,175,False
FPN_within,-0.06892326165009574,0.05944411838787821,-0.2360007458672444,-0.23190366334203738,-0.004097082525206998,-0.030355405265041123,0.023687929514065547,0.838,175,False
DMN_MTL_between,-0.032428101156574074,0.06420063019033284,-0.2360007458672444,-0.23391884133711602,-0.0020819045301279167,-0.03372534195784624,0.024141198770201214,0.8628,175,False
FPN_MTL_between,-0.014327114983253009,0.07603575659892782,-0.2360007458672444,-0.234911372839613,-0.0010893730276314777,-0.031051470159517192,0.02233406702893827,0.8664,175,False
MTL_within,0.03094779458927191,0.04211115119390563,-0.2360007458672444,-0.2373039931243108,0.001303247257066764,-0.019212992598500064,0.029274197962283456,0.8676,175,False
mean_clustering,-0.03281141500598439,0.056132232166838,-0.2360007458672444,-0.23415896790240587,-0.001841777964838388,-0.02671555692757321,0.021369174595311097,0.912,175,False
modularity,0.007866104762410741,0.06018351951335761,-0.2360007458672444,-0.2364741557367071,0.00047340986946266207,-0.024646924935335043,0.02313024536585592,0.9936,175,False
